grid_id,gvi,svf,bvf,rvf,canyon_ratio,canopy_height_proxy,vegetation_sky_ratio,scenario,anomaly_type,residual,canopy_pct,impervious_pct,lat,lon
BK-64,0.3045,0.1514,0.1258,0.3861,0.6951,0.4079,3.0873,ne_philly_rooftop,cool,-4.32,22.0,65.7,40.08088,-75.20812
BL-70,0.1881,0.2577,0.1467,0.3817,0.5923,0.2252,0.8222,ne_philly_rooftop,cool,-4.23,6.1,79.5,40.07548,-75.20694
BM-212,0.734,0.1308,0.0013,0.0551,0.0053,0.2901,20.4717,west_philly_reinvest,hot,4.05,36.2,30.2,39.9476,-75.20561
BM-213,0.736,0.1015,0.0018,0.0029,0.0104,0.3479,16.0928,west_philly_reinvest,hot,4.22,31.9,15.3,39.9467,-75.20561
BM-83,0.4085,0.1761,0.0159,0.2983,0.0892,0.4618,2.7264,mt_airy_green,hot,5.17,60.7,9.8,40.06378,-75.20575
BP-210,0.8253,0.0603,0.003,0.0716,0.0468,0.3424,75.331,west_philly_reinvest,hot,3.65,51.5,36.8,39.9494,-75.2021
BQ-76,0.1908,0.2498,0.1562,0.3483,0.6468,0.2942,0.7659,ne_philly_rooftop,cool,-3.74,10.2,70.5,40.07008,-75.20107
BR-214,0.7333,0.0433,0.0017,0.1664,0.0395,0.4241,77.1166,west_philly_reinvest,hot,3.37,32.5,32.6,39.9458,-75.19975
BV-88,0.2412,0.2401,0.1712,0.3315,0.7818,0.1585,1.0067,ne_philly_rooftop,cool,-4.63,12.6,67.9,40.05928,-75.1952
BW-207,0.6459,0.0475,0.0756,0.2117,4.2816,0.4406,28.07,west_philly_reinvest,hot,3.37,46.0,43.4,39.95211,-75.19391
BW-82,0.2899,0.0989,0.2106,0.2073,2.9927,0.575,3.7327,ne_philly_rooftop,cool,-4.87,7.8,63.1,40.06468,-75.19403
BZ-209,0.094,0.1552,0.3249,0.3485,3.6524,0.2528,0.4134,center_city_canyon,hot,3.16,0.0,71.4,39.95031,-75.1904
BZ-98,0.3542,0.1914,0.04,0.2439,0.2961,0.4805,2.8009,ne_philly_rooftop,cool,-4.35,16.6,59.4,40.05028,-75.1905
CA-107,0.1856,0.1898,0.2036,0.356,1.0995,0.4081,1.0832,ne_philly_rooftop,cool,-4.83,25.8,57.2,40.04217,-75.18932
